tour,team_home,team_away,time,champ,team_home_substitution,team_home_reserved,team_home_yellow_cards,team_home_squad,team_home_red_cards,team_away_substitution,team_away_reserved,team_away_yellow_cards,team_away_squad,team_away_red_cards,team_home_score,team_away_score,target
25,team93,team99,2010-03-06,champ4,,,,,,,,,,,1,0,1
16,team70,team184,2016-11-27,champ14,,,,,,,,,,,5,1,1
28,team102,team169,2013-03-17,champ13,"player27576, player205658, player174957",,"player127963, player163020, player147995, player99930, player127238, player174957, player27576","player174679, player127963, player104080, player163020, player100034, player149145, player147995, player127238, player67956, player11524, player29888",,"player5176, player153206, player205821",,"player32991, player37796, player99930, player5176, player16045, player205821","player120363, player122955, player37796, player76947, player16045, player100102, player149316, player32991, player41507, player67349, player116438",,1,1,0
26,team118,team202,2012-03-03,champ3,"player27046, player87197, player173201",,"player158960, player42575, player64878","player147626, player57205, player169951, player33894, player112797, player158960, player73789, player42575, player88212, player92756, player64878",,"player173397, player107472, player205845",,player167786,"player65442, player25658, player209700, player68920, player167786, player63951, player72434, player207998, player180512, player4783, player74937",,1,1,0
18,team75,team330,2011-01-15,champ4,"player135514, player107828, player1811","player112891, player196239, player4569","player196003, player142899, player12328","player36914, player187191, player163455, player142899, player113641, player187137, player17029, player196003, player12328, player91252, player139305",,"player209123, player170977, player201266","player187847, player73330, player177356",player116613,"player167912, player19692, player86841, player67141, player38686, player5636, player32149, player154123, player38966, player116613, player67204",,2,1,1
2,team160,team209,2013-08-31,champ6,,,,,,,,,,,2,4,2
22,team30,team50,2013-02-03,champ13,"player58526, player150818, player41523",,"player58117, player115786, player164412","player93032, player44322, player164412, player115786, player169486, player84851, player39369, player195525, player177014, player99949, player181753",,"player117487, player142502, player117565",,"player138356, player138096, player76508, player124724","player3347, player198760, player8218, player138356, player138178, player21944, player76508, player124810, player93926, player133084, player79985",,1,0,1
22,team213,team334,2012-01-21,champ2,"player91339, player54771, player21461","player61136, player195808, player178306",,"player144593, player109536, player55996, player178992, player127474, player50140, player169984, player139679, player185670, player119166, player193372",,"player105873, player101149, player207917","player172568, player23396, player67813, player152055",,"player198588, player49547, player25450, player172849, player89183, player146333, player145621, player102961, player110693, player168028, player175239",,0,0,0
3,team72,team42,2013-09-01,champ13,,,,,,,,,,,2,3,2
24,team316,team257,2016-02-21,champ8,,,,,,,,,,,1,1,0
4,team160,team133,2015-09-20,champ6,,,,,,,,,,,0,1,2
5,team108,team284,2016-09-11,champ8,,,,,,,,,,,1,1,0
33,team27,team135,2015-04-07,champ2,,,,,,,,,,,3,3,0
29,team295,team226,2015-04-04,champ8,,,,,,,,,,,0,5,2
2,team38,team341,2012-09-02,champ4,,,,,,,,,,,6,1,1
40,team286,team18,2012-04-22,champ11,,,,,,,,,,,0,3,2
2,team97,team280,2014-08-02,champ1,,,,,,,,,,,1,1,0
36,team166,team282,2012-05-02,champ6,,,,,,,,,,,1,1,0
21,team89,team320,2012-02-10,champ4,,,,,,,,,,,3,2,1
24,team158,team152,2014-12-03,champ11,,,,"player19845, player12099, player199751, player63583, player173899, player68190, player72534, player167250, player29652, player142138, player16210",,,,,"player58801, player109910, player46559, player74110, player106084, player33380, player64671, player111701, player138986, player68669, player40044",,1,1,0
36,team291,team23,2012-04-28,champ2,"player11262, player55097, player62530",,player178059,"player19325, player196347, player178547, player202592, player202396, player180794, player137206, player178059, player208094, player179940, player90205",,"player57221, player199697, player9755",,player20883,"player203838, player159413, player35565, player89723, player43014, player155338, player166593, player20883, player152817, player210836, player64000",,1,1,0
10,team95,team6,2014-11-01,champ4,"player165792, player77136, player172906","player7932, player15950, player201739","player192533, player203187","player197154, player156383, player202067, player109113, player203187, player142932, player194446, player81975, player24188, player192533, player28239",,"player68363, player132736, player73128","player192216, player9421, player69686, player139167","player103652, player82523","player36684, player82523, player154793, player103652, player4443, player190153, player202753, player197752, player112535, player82927, player103853",,1,0,1
15,team30,team116,2010-12-11,champ13,"player186721, player169486, player58526",,player137739,"player212043, player184385, player179128, player59764, player137739, player177781, player146108, player147503, player163540, player186013, player2536",,"player194704, player3347, player32656",,"player11542, player132908","player11542, player132908, player100249, player86050, player4843, player160986, player160024, player10616, player194940, player96148, player180378",,2,0,1
6,team329,team169,2015-09-27,champ13,,,,,,,,,,,3,0,1
27,team290,team337,2016-02-20,champ1,,,,,,,,,,,3,0,1
13,team33,team330,2013-11-23,champ4,"player121940, player118468, player25002",,"player74763, player189462","player192691, player83008, player74763, player132421, player36016, player185570, player189462, player14983, player35788, player6835, player114801",,"player174119, player191668, player201385",,"player156862, player191668, player203072","player79584, player1626, player66997, player19692, player56187, player141456, player184908, player203072, player156862, player116823, player185736",,2,0,1
31,team166,team209,2012-04-07,champ6,,,,,,,,,,,3,1,1
16,team205,team337,2015-12-22,champ1,,,,,,,,,,,0,1,2
18,team150,team152,2013-12-01,champ11,,,,,,,,,,,1,0,1
10,team178,team179,2009-12-06,champ3,,,,,,,,,,,4,3,1
32,team215,team93,2012-04-21,champ4,,,,,,,,,,,1,1,0
1,team12,team73,2009-08-30,champ13,,,,,,,,,,,0,0,0
1,team202,team57,2014-08-09,champ3,,,,,,,,,,,0,1,2
12,team214,team293,2012-11-17,champ2,,,,,,,,,,,1,2,2
9,team310,team78,2012-10-27,champ2,,,,,,,,,,,2,1,1
29,team89,team336,2015-04-19,champ4,,,,,,,,,,,1,1,0
3,team97,team44,2016-08-13,champ1,,,,,,,,,,,2,2,0
9,team54,team193,2015-11-01,champ10,,,,,,,,,,,0,1,2
29,team215,team38,2011-04-09,champ4,,,,,,,,,,,1,1,0
36,team169,team42,2011-05-11,champ13,"player169076, player95715","player147556, player161149, player150455, player118174, player153560",player67349,"player120363, player124028, player195545, player35116, player16045, player133950, player123494, player188606, player32306, player67349, player73406",,"player185897, player136476","player139979, player18130, player69884, player177537, player191986",player139541,"player32937, player1523, player50802, player139541, player30439, player110391, player81126, player14061, player188227, player113939, player37538",,1,1,0
21,team284,team128,2017-02-05,champ8,,,,,,,,,,,2,3,2
10,team156,team120,2015-09-27,champ11,,,,,,,,,,,0,0,0
30,team27,team90,2011-03-19,champ2,,,,,,,,,,,0,1,2
24,team169,team246,2012-02-19,champ13,"player42206, player153946, player205821",,"player87066, player182007, player120363, player188227","player120363, player52662, player35116, player16045, player72665, player182007, player17284, player188606, player32306, player87136, player161168",,"player94475, player57487, player52394",,"player173681, player143601, player58117","player65189, player173681, player143601, player146081, player116673, player12146, player176132, player187728, player140424, player58526, player16479",,3,5,2
17,team240,team171,2015-11-29,champ9,,,,,,,,,,,2,2,0
14,team152,team119,2012-11-04,champ11,"player8847, player68190, player86873",,"player201331, player163986, player86873","player163986, player9455, player109910, player201331, player165691, player176724, player33380, player64671, player109160, player86306, player60893",,"player160681, player126728, player166103",,player85172,"player203295, player183228, player46033, player178391, player99701, player208822, player209959, player159588, player56339, player85172, player92803",,2,0,1
33,team189,team116,2015-04-26,champ13,,,,,,,,,,,1,1,0
19,team334,team176,2013-12-29,champ2,"player89183, player114478, player175239","player200436, player207917, player110693, player203562","player172849, player94365, player131943","player198588, player49547, player94365, player13592, player67813, player172849, player132043, player102961, player4106, player37399, player208168",,"player165264, player13412, player177138","player55725, player100818, player164717, player152993",player55843,"player115637, player160263, player201695, player56091, player2075, player89449, player191287, player101490, player6603, player168383, player169337",,2,1,1
8,team285,team297,2014-09-20,champ11,"player9160, player152121, player49649","player116174, player93162, player25752, player203954, player86456, player157768, player209308","player69464, player171572","player147148, player69464, player29142, player135477, player171572, player43893, player196225, player197938, player143293, player104723, player56881",,"player132854, player140112, player4758","player45694, player183938, player73159, player76273, player25677, player92320","player96768, player92103, player111626","player44166, player92103, player160727, player86664, player180609, player3076, player111626, player67627, player155005, player4336, player96768",,1,1,0
20,team336,team60,2015-02-06,champ4,"player158414, player11111","player36383, player4946, player112668, player127064",player11111,"player34794, player82705, player180759, player187470, player124352, player190487, player196732, player17410, player24913, player110976, player199388",,"player175895, player194655","player24449, player56187, player51679, player89949, player87796",,"player166369, player28699, player59764, player35053, player210137, player191769, player91473, player127332, player4164, player54212, player146735",,1,0,1
23,team307,team227,2013-02-01,champ3,,,,,,,,,,,0,4,2
7,team5,team34,2014-08-30,champ0,,,,,,,,,,,2,1,1
2,team209,team265,2015-08-30,champ6,,,,,,,,,,,2,2,0
16,team28,team229,2014-12-21,champ6,,,,,,,,,,,3,3,0
25,team200,team233,2011-02-12,champ6,,,,,,,,,,,4,0,1
30,team99,team341,2010-04-10,champ4,,,,,,,,,,,0,1,2
9,team345,team205,2016-10-01,champ1,,,,,,,,,,,1,4,2
24,team260,team303,2015-04-20,champ11,,,,,,,,,,,1,0,1
11,team39,team186,2016-10-15,champ14,,,,,,,,,,,3,0,1
33,team229,team233,2012-04-25,champ6,,,,,,,,,,,1,2,2
1,team178,team183,2009-08-09,champ3,,,,,,,,,,,1,2,2
9,team104,team70,2016-09-25,champ14,,,,,,,,,,,2,1,1
6,team288,team190,2009-10-04,champ13,,,,,,,,,,,4,1,1
27,team152,team14,2015-05-11,champ11,,,,,,,,,,,1,1,0
13,team176,team191,2011-11-27,champ2,,"player59953, player84194, player81329, player78032, player150838, player167543, player94159",,"player137681, player194363, player201695, player56091, player2075, player191287, player51547, player101490, player2680, player169337, player73538",,"player16142, player177138","player134240, player155778, player211369, player55934, player54737","player86809, player31559, player16142, player115177","player190069, player149578, player86809, player97989, player83807, player177314, player115177, player31559, player163203, player124287, player2536",player16142,1,1,0
32,team41,team258,2010-04-03,champ6,,,,,,,,,,,0,1,2
6,team183,team279,2011-09-17,champ3,"player93926, player169862, player93083",,player93083,"player97281, player136268, player106145, player30072, player107567, player151800, player112212, player65535, player206358, player8142, player117756",,"player91265, player18473, player155616",,"player115472, player13882","player155470, player135784, player115472, player48082, player66882, player83518, player48026, player156429, player13882, player45889, player82909",,3,0,1
14,team285,team313,2015-11-01,champ11,,,,,,,,,,,0,1,2
22,team265,team272,2015-02-08,champ6,,,,,,,,,,,1,1,0
18,team12,team296,2010-01-17,champ13,,,,,,,,,,,1,1,0
14,team81,team274,2010-12-05,champ13,"player26771, player76643, player108551",,"player121104, player152949, player28939","player58691, player45392, player121104, player10835, player80206, player79340, player76009, player160920, player29053, player152949, player126331",,"player76698, player125235, player8051",,"player66604, player76421, player78775","player133850, player78775, player122895, player49224, player6101, player151864, player138445, player198692, player194223, player66604, player76421",,1,0,1
23,team342,team266,2010-01-27,champ2,,,,,,,,,,,2,0,1
15,team100,team281,2016-12-18,champ10,,,,,,,,,,,3,1,1
33,team56,team27,2010-04-03,champ2,,,,,,,,,,,0,1,2
18,team89,team38,2015-01-30,champ4,"player201024, player21110, player196003","player47489, player83884, player208476, player160384",player12436,"player20738, player150907, player123738, player100971, player74223, player36807, player138331, player211129, player12436, player84103, player60455",,"player32064, player49110, player140267","player137681, player20854, player14736, player41771",player200351,"player127000, player51058, player24766, player5636, player188014, player200351, player23092, player150495, player149842, player121791, player96879",,4,1,1
20,team341,team320,2011-01-30,champ4,,,,,,,,,,,0,1,2
8,team28,team166,2013-10-20,champ6,,,,,,,,,,,2,1,1
8,team43,team306,2012-10-06,champ3,,,,,,,,,,,3,2,1
5,team79,team197,2016-08-27,champ1,,,,,,,,,,,1,2,2
8,team129,team297,2012-09-14,champ11,"player189228, player38144, player160573","player14587, player101796, player30812, player76368","player209468, player5692","player105677, player11032, player5692, player99648, player209468, player201426, player66949, player181561, player53487, player31000, player81675",,"player4307, player86664, player97041","player8632, player141476, player38222, player156195","player92103, player125031, player111626","player44166, player210435, player183938, player92103, player70426, player3076, player24392, player111626, player67627, player96768, player125031",,0,2,2
6,team213,team176,2012-09-29,champ2,,,,,,,,,,,2,5,2
11,team53,team342,2010-11-06,champ2,,,,,,,,,,,2,2,0
11,team258,team302,2014-11-09,champ6,,,,,,,,,,,3,0,1
9,team189,team246,2014-10-26,champ13,"player147995, player148929, player158685",,player149877,"player75341, player34784, player10700, player149894, player162119, player75097, player51241, player9016, player157774, player195183, player79662",,"player5297, player193082, player107353",,"player16805, player19073, player173681, player8218","player174679, player173681, player8218, player69598, player66182, player19073, player176132, player73789, player98338, player16805, player142511",,4,0,1
15,team163,team194,2009-11-28,champ3,,,,,,,,,,,1,0,1
13,team319,team93,2012-11-23,champ4,,,,,,,,,,,2,0,1
14,team351,team100,2015-12-19,champ10,,,,,,,,,,,0,1,2
14,team322,team191,2010-11-21,champ2,,,,,,,,,,,1,4,2
17,team240,team174,2014-11-29,champ9,,,,,,,,,,,1,0,1
9,team248,team220,2010-10-31,champ13,"player96029, player25773, player204757",,"player175417, player164412","player174679, player206557, player164412, player186809, player175417, player86192, player81510, player134715, player120250, player124571, player151336",,"player125599, player97248, player31886",,"player11524, player195525, player49985, player185132","player148846, player117962, player185132, player99483, player49985, player125497, player202262, player143799, player195525, player166954, player11524",,4,1,1
18,team120,team313,2013-11-30,champ11,,,,,,,,,,,3,0,1
25,team279,team194,2014-02-16,champ3,,,,,,,,,,,1,1,0
6,team265,team28,2014-10-05,champ6,,,,,,,,,,,1,0,1
32,team330,team341,2011-04-30,champ4,,,,,,,,,,,1,2,2
8,team95,team75,2011-10-02,champ4,"player86860, player146509, player204380",,"player202905, player203187, player140013, player198231, player202067","player197154, player141000, player202067, player198231, player188655, player203187, player134072, player140013, player202905, player201739, player1223",,"player151336, player205056, player123738",,"player38355, player107828, player17029","player114915, player134626, player187191, player38355, player142899, player107828, player68363, player17029, player196003, player12328, player140267",player12328,3,2,1
15,team75,team38,2013-12-07,champ4,,,,,,,,,,,0,7,2
20,team108,team101,2015-01-31,champ8,,,,,,,,,,,2,0,1
2,team160,team166,2009-08-30,champ6,,,,,,,,,,,1,2,2
26,team233,team144,2013-02-24,champ6,,,,,,,,,,,1,2,2
10,team221,team178,2009-10-25,champ3,,,,,,,,,,,3,2,1
26,team167,team57,2010-04-14,champ3,,,,,,,,,,,2,1,1
24,team271,team50,2012-02-20,champ13,"player194831, player17749, player61614",,"player131526, player11211","player192423, player7521, player134945, player211021, player128880, player131526, player114309, player11211, player11524, player100903, player96439",,"player158685, player137995, player110875",,"player153560, player76508, player21836","player181419, player60132, player135784, player125523, player21836, player157024, player118174, player76508, player124810, player117487, player153723",,0,2,2
1,team194,team141,2015-08-08,champ3,,,,,,,,,,,0,1,2
3,team95,team75,2012-09-15,champ4,,,,,,,,,,,3,2,1
12,team334,team77,2014-11-22,champ2,"player147774, player61105, player145621","player198588, player184535, player66882, player203562",player37399,"player93032, player94365, player13592, player67813, player172849, player132043, player111099, player181390, player4106, player37399, player58526",,"player40617, player10225, player119373","player104174, player104509, player68539, player157180",,"player186454, player178973, player31307, player97989, player60634, player209215, player41156, player27797, player60224, player162264, player22026",player209215,2,0,1
4,team29,team102,2014-09-20,champ13,"player36523, player149145, player43564",,"player70537, player3920","player70390, player158020, player70537, player208260, player15889, player118580, player71325, player170315, player120695, player3920, player179386",,"player204516, player194831, player108381",,"player127963, player153356, player187528, player208742","player149940, player127963, player14558, player187528, player120800, player149180, player208742, player140424, player87885, player153356, player70643",,0,1,2
27,team23,team90,2011-02-12,champ2,,,,,,,,,,,2,0,1
4,team116,team249,2014-09-20,champ13,"player59789, player72786, player175533",,player162893,"player103037, player162893, player96272, player100751, player57367, player22188, player112610, player195525, player182017, player142714, player93498",,"player69129, player70941, player207196",,player161447,"player79128, player33641, player31214, player109113, player161921, player11733, player91252, player189389, player116989, player152301, player21332",,2,8,2
8,team246,team350,2011-10-16,champ13,"player16486, player136126, player52394",,"player188227, player12607, player171244","player50463, player173681, player194232, player12607, player184147, player116673, player27070, player188618, player116492, player171244, player140424",,"player185946, player14795, player51401",,"player108381, player151864, player8544","player7492, player8544, player34228, player119047, player186086, player58046, player108381, player151864, player35357, player188419, player161654",,0,1,2
22,team308,team39,2016-02-28,champ14,,,,,,,,,,,1,1,0
6,team194,team254,2014-09-20,champ3,,,,,,,,,,,3,0,1
24,team235,team301,2017-03-05,champ10,,,,,,,,,,,0,0,0
2,team132,team59,2015-08-23,champ4,"player110977, player97282, player66912","player129454, player89746, player80492","player97193, player151251","player126276, player196567, player28065, player206501, player96921, player118533, player151251, player47201, player97193, player190086, player192512",,"player194610, player145812, player79884","player32023, player21044, player75520","player169649, player73007, player121534","player31663, player195915, player201943, player169649, player121534, player73007, player43643, player31926, player48937, player151466, player128492",,0,4,2
31,team208,team141,2015-04-05,champ3,,,,,,,,,,,1,2,2
29,team266,team27,2015-03-14,champ2,"player178205, player47431","player106948, player55725, player84194, player35202, player44929",player28333,"player134240, player33182, player27905, player147195, player28333, player95881, player151250, player128389, player7412, player185344, player54006",,"player495, player73, player191542","player43164, player36222, player192185, player82509",player15670,"player48733, player130098, player83225, player100548, player15670, player83465, player52603, player122453, player164075, player2014, player21744",,0,4,2
3,team135,team266,2014-08-30,champ2,"player65870, player175769, player170825","player122009, player131180, player50900, player191482",player111361,"player47044, player85684, player192130, player71007, player183000, player184660, player18039, player111361, player132360, player193212, player182881",,"player54269, player15601, player6795","player134240, player55725, player28333, player44929","player80302, player54269","player106948, player33182, player27905, player35202, player80302, player95881, player151250, player128389, player55934, player185344, player178205",,1,0,1
16,team342,team322,2013-12-14,champ2,"player115724, player168686","player150294, player190855, player7869, player63060, player125417",player139242,"player192998, player209034, player129063, player59360, player89290, player52499, player31429, player132167, player139242, player31559, player101149",,"player79410, player21602, player51628","player168558, player149695, player66146, player154271","player52156, player160792","player168152, player148798, player196414, player149474, player160792, player162795, player77012, player135296, player80398, player52156, player22118",,4,1,1
32,team66,team227,2011-04-24,champ3,,,,,,,,,,,2,2,0
33,team291,team324,2010-04-03,champ2,,,,,,,,,,,2,0,1
5,team189,team81,2015-09-23,champ13,,,,,,,,,,,0,1,2
15,team325,team187,2016-11-26,champ12,,,,,,,,,,,3,0,1
9,team23,team135,2012-10-27,champ2,,,,,,,,,,,1,0,1
20,team60,team40,2014-02-07,champ4,,,,,,,,,,,0,1,2
33,team329,team30,2014-04-13,champ13,,,,,,,,,,,0,2,2
18,team96,team201,2013-12-14,champ3,,,,,,,,,,,0,2,2
27,team215,team341,2014-03-26,champ4,,,,,,,,,,,2,0,1
19,team148,team151,2014-12-12,champ9,,,,,,,,,,,1,2,2
23,team41,team133,2011-02-03,champ6,"player196240, player148146","player133341, player144626, player152020","player21778, player43773","player64189, player110475, player135203, player152967, player43773, player7950, player59830, player41910, player21778, player130048, player42576",,"player165721, player75245","player131594, player123467, player128651, player89449, player134038","player119589, player110843, player145879","player65337, player56731, player145879, player104032, player110843, player81938, player119589, player189831, player136027, player114854, player208168",,0,3,2
10,team75,team215,2010-10-30,champ4,,,,,,,,,,,2,3,2
10,team202,team178,2009-11-22,champ3,,,,,,,,,,,2,0,1
5,team322,team342,2009-09-13,champ2,,,,,,,,,,,2,1,1
16,team14,team261,2015-11-21,champ11,,,,,,,,,,,1,2,2
15,team256,team210,2016-12-18,champ10,,,,,,,,,,,2,1,1
1,team95,team336,2012-08-26,champ4,,,,,,,,,,,2,2,0
33,team324,team176,2015-04-28,champ2,,,,,,,,,,,1,0,1
5,team176,team192,2012-09-23,champ2,"player191868, player191287, player78032","player55612, player194363, player200168, player13630",player137575,"player137681, player81329, player201695, player56091, player2075, player6603, player168383, player200832, player55220, player169337, player26452",player200832,"player165092, player207196, player180924","player212043, player31697, player9421, player83465",player165092,"player98553, player204312, player204140, player146634, player183000, player32376, player43233, player123942, player73007, player78186, player210836",,1,2,2
3,team249,team329,2011-09-10,champ13,"player73659, player68501, player46210","player2823, player7299, player11733, player74713","player152301, player77304","player79128, player137575, player109113, player161921, player77304, player188014, player57031, player129771, player89810, player152301, player21332",,"player47988, player86262","player84486, player7139, player139988, player119503, player153910","player32602, player79182, player114147","player117364, player80123, player114239, player159732, player110135, player32602, player136662, player79182, player194940, player96029, player114654",,4,2,1
23,team293,team322,2014-01-28,champ2,"player49850, player8544, player142502","player88113, player172018, player95059, player7739",player26208,"player176245, player198823, player178890, player145962, player62155, player28534, player200832, player133075, player154920, player26208, player211310",,"player21602, player51628, player171311","player168558, player196414, player150437, player90577",player149695,"player168152, player189546, player149695, player22885, player149474, player162795, player135296, player80398, player52156, player53339, player22118",,2,0,1
16,team337,team16,2014-11-22,champ1,,,,,,,,,,,3,1,1
28,team271,team220,2012-03-17,champ13,"player169709, player11211, player131526",,"player139919, player96439, player114309, player142714","player192423, player7521, player134945, player110805, player128880, player61614, player114309, player139919, player142714, player100903, player96439",,"player131024, player10264, player173291",,"player146068, player125497","player183268, player23396, player150341, player183392, player49985, player125497, player143799, player146239, player162432, player126483, player95059",,1,1,0
1,team340,team5,2015-07-25,champ0,,,,,,,,,,,1,1,0
21,team117,team318,2015-01-31,champ6,,,,,,,,,,,1,1,0
11,team266,team191,2013-11-10,champ2,"player41156, player6795, player26452","player36222, player57367, player72546, player103470",,"player106948, player27905, player54269, player17171, player81920, player95881, player197962, player85519, player128389, player55934, player185344",,"player123285, player155778, player54737","player190069, player83807, player27280, player151250",player41461,"player134240, player149578, player97989, player53164, player85386, player41461, player177314, player115177, player124287, player125235, player2536",,1,0,1
28,team194,team211,2014-03-07,champ3,,,,,,,,,,,0,1,2
29,team23,team78,2015-03-14,champ2,"player180924, player79340, player185023","player203838, player43014, player20114, player5541",player159015,"player132307, player89723, player117962, player113641, player155338, player197651, player85057, player129771, player64560, player159174, player179782",,"player8309, player125685","player210378, player53008, player141322, player92708",player156429,"player3347, player90442, player93565, player128227, player85805, player127160, player51547, player126627, player166593, player55032, player156474",,3,0,1
16,team173,team339,2016-11-20,champ9,,,,,,,,,,,3,0,1
35,team51,team90,2011-05-01,champ2,,,,,,,,,,,1,1,0
17,team148,team239,2016-11-26,champ9,,,,,,,,,,,4,1,1
21,team33,team215,2014-02-16,champ4,,,,,,,,,,,0,1,2
32,team140,team80,2016-04-21,champ8,,,,,,,,,,,1,1,0
30,team117,team282,2013-03-30,champ6,,,,,,,,,,,2,2,0
24,team115,team128,2015-02-21,champ8,,,,,,,,,,,3,2,1
18,team298,team339,2015-12-01,champ9,,,,,,,,,,,1,1,0
14,team152,team331,2014-11-22,champ11,"player68669, player94523, player33380",,"player68669, player94523, player162629","player58801, player63184, player46559, player162747, player106084, player14196, player64671, player111701, player138986, player40044, player11914",,"player120995, player196932, player63492",,,"player5421, player108139, player22592, player203711, player68327, player35679, player175627, player114734, player63312, player56586, player61721",,2,1,1
28,team271,team72,2011-03-12,champ13,"player27828, player122457, player211021",,player39369,"player59559, player59177, player134945, player87528, player210235, player194063, player207430, player23253, player39388, player141984, player180717",,"player16609, player110693, player7047",,"player167890, player16609, player7047","player47612, player167890, player148910, player156906, player174778, player192843, player111494, player7135, player6923, player166313, player65025",player167890,4,0,1
13,team201,team21,2010-11-13,champ3,,,,,,,,,,,0,0,0
17,team336,team188,2009-12-18,champ4,,,,,,,,,,,1,0,1
20,team320,team59,2015-02-07,champ4,"player200184, player184595, player191976","player114915, player196746, player149474, player203432",player186872,"player31663, player91003, player175417, player166714, player49001, player51289, player186872, player202007, player83369, player51690, player138749",,"player24518, player121534, player43643","player95454, player82691, player134626, player69222","player140624, player73007","player32023, player195915, player201943, player169649, player73007, player200168, player75520, player140624, player48937, player151466, player128492",,0,3,2
33,team160,team55,2011-04-17,champ6,,,,,,,,,,,2,0,1
37,team178,team194,2010-05-08,champ3,,,,,,,,,,,3,2,1
24,team320,team336,2012-03-03,champ4,,,,,,,,,,,2,1,1
22,team129,team152,2011-08-28,champ11,,,,,,,,,,,5,0,1
19,team352,team76,2015-01-18,champ6,,,,,,,,,,,4,0,1
8,team29,team220,2011-10-17,champ13,"player14022, player174050, player9309",,"player70537, player188227","player70390, player8944, player70537, player26896, player71325, player39432, player170315, player188516, player132074, player120695, player102485",,"player99483, player16210, player10264",,"player125497, player95059","player9965, player23396, player150341, player162156, player49985, player125497, player143799, player146239, player162432, player126483, player95059",player95059,3,1,1
10,team274,team72,2010-11-08,champ13,"player125235, player8051, player207733",,player49224,"player188281, player78775, player122895, player49224, player6101, player151864, player138445, player147809, player76698, player100994, player76421",,"player47612, player6923, player133075",,,"player159267, player122955, player114147, player148910, player174778, player192843, player183535, player111494, player110693, player166313, player3920",player174778,2,0,1
9,team27,team342,2013-10-26,champ2,"player83225, player190944","player168476, player100548, player205688, player163332, player84560",,"player48733, player19473, player38185, player101973, player15670, player36222, player52603, player174528, player32139, player2014, player21744",,"player132167, player125417, player52499","player150294, player129063, player168686, player63060","player104968, player192998","player192998, player19589, player209034, player59360, player89290, player115724, player104968, player31429, player139242, player31559, player101149",,0,2,2
4,team221,team37,2011-08-27,champ3,"player87564, player96641","player97769, player47108, player23151, player63854, player88594",,"player166771, player25893, player92576, player61581, player200056, player162809, player164568, player175769, player124995, player160182, player130659",,"player173102, player68762, player112486","player51958, player82508, player119537, player205622","player98644, player122087, player9596, player72817","player132813, player122087, player143586, player98644, player9596, player144039, player157572, player72817, player96069, player19169, player165961",,4,1,1
31,team235,team62,2016-04-23,champ10,,,,,,,,,,,1,0,1
17,team0,team225,2018-01-14,champ5,,,,,,,,,,,3,1,1
4,team65,team128,2014-08-31,champ8,,,,,,,,,,,3,1,1
33,team108,team128,2015-05-10,champ8,,,,,,,,,,,0,1,2
14,team341,team336,2014-12-06,champ4,"player200279, player131586, player43674","player82727, player156347, player146509, player88846",,"player179335, player155417, player18780, player41290, player97130, player47348, player84000, player159744, player42505, player35788, player43792",,"player83584, player4946, player158414","player43714, player187096, player26318",,"player183151, player82705, player11111, player180759, player187470, player190487, player112668, player17410, player127064, player199388, player196060",,0,4,2
